step,episode,return,actor_loss,critic_loss,noise_std,eval_mean_return,eval_success_rate
173,0,-152.32004666463303,,,0.399135,,
258,1,-130.29541542647746,,,0.39871,,
426,2,-78.52665575640472,,,0.39787,,
493,3,17.488132392086577,,,0.397535,,
659,4,-528.3163387650736,,,0.39670500000000003,,
838,5,-327.24992453477864,,,0.39581,,
998,6,-430.68453984697004,,,0.39501000000000003,,
1156,7,-352.88006262861086,,,0.39422,,
1320,8,-688.4905216890808,,,0.3934,,
1481,9,-152.30048791372954,,,0.392595,,
1645,10,-321.30636065591034,,,0.39177500000000004,,
1820,11,-227.98143967190776,,,0.3909,,
1990,12,-324.0811260185358,,,0.39005,,
2000,13,-74.748900253954,,,0.39,-3583.305242839308,0.2
2026,13,-183.79884568818744,0.19198784232139587,3.208643674850464,0.38987000000000005,,
2211,14,-78.77464696941631,0.19994695484638214,2.41420841217041,0.38894500000000004,,
2393,15,-440.1275751792841,0.16818812489509583,2.3479294776916504,0.388035,,
2569,16,-609.566868895463,0.13871146738529205,2.0762901306152344,0.387155,,
2737,17,-727.2133363287869,0.09935204684734344,3.8328630924224854,0.386315,,
2927,18,-448.9020251396107,0.0951850637793541,2.3577985763549805,0.385365,,
3102,19,-948.6191457749554,0.09293744713068008,4.597881317138672,0.38449,,
3329,20,-649.790332942096,0.48177674412727356,3.9414608478546143,0.383355,,
3538,21,-99.1194749731946,0.3649437427520752,5.271858215332031,0.38231000000000004,,
3729,22,-796.285083163596,0.28205668926239014,1.6673505306243896,0.381355,,
3953,23,-308.9660265571441,0.18148595094680786,4.5760393142700195,0.38023500000000005,,
4000,24,-70.4911912905861,0.14308148622512817,2.510712146759033,0.38,-5554.839777521586,0.0
4079,24,-800.5881098454114,0.3268548250198364,5.812744140625,0.379605,,
4261,25,-289.69693366663915,0.2052346169948578,5.415197372436523,0.378695,,
4319,26,18.80323289930472,0.2204100638628006,6.131869792938232,0.37840500000000005,,
4514,27,-150.1635959071648,0.21290768682956696,3.961580276489258,0.37743000000000004,,
4596,28,31.030190967170988,-0.09615818411111832,2.352653741836548,0.37702,,
4764,29,-175.4733486751681,-0.07379354536533356,0.5583568811416626,0.37618,,
4911,30,-494.4110251780953,0.1842975616455078,4.600303649902344,0.37544500000000003,,
4958,31,-125.56434345181766,0.17830169200897217,6.160462856292725,0.37521000000000004,,
5024,32,22.721553895528718,0.01060279831290245,5.129438400268555,0.37488000000000005,,
5111,33,-531.8777982604006,0.04597553610801697,6.859346866607666,0.37444500000000003,,
5201,34,-124.92127021335911,0.1468578279018402,4.586841106414795,0.373995,,
5204,35,15.508539208408372,0.15976513922214508,4.535951614379883,0.37398000000000003,,
5300,36,-93.75869253368515,0.18074676394462585,3.332679033279419,0.3735,,
5353,37,-297.99847656525,-0.17437338829040527,3.2659974098205566,0.37323500000000004,,
5421,38,-330.2902960218419,-0.003808751702308655,4.689335823059082,0.37289500000000003,,
5494,39,-73.26790781790659,-0.2179134637117386,3.851975202560425,0.37253000000000003,,
5588,40,20.281200006620654,0.017745181918144226,8.971725463867188,0.37206,,
5641,41,-52.64997780939624,-0.10166320949792862,3.118009090423584,0.37179500000000004,,
5704,42,-179.88507781716876,-0.16695691645145416,2.574882984161377,0.37148000000000003,,
5739,43,-22.766429534462432,-0.12335897982120514,3.8054018020629883,0.371305,,
5808,44,-118.46606998978342,0.26014041900634766,2.458326578140259,0.37096,,
