step,episode,return,loss,model_loss,eval_cost_per_order
67,0,-144.842,19.63386344909668,1085.0906982421875,nan
142,1,-339.14400000000006,12.923039436340332,508.9505920410156,nan
211,2,-517.4820000000001,15.598287582397461,192.72169494628906,nan
292,3,3.370999999999924,10.473404884338379,227.73402404785156,nan
344,4,-324.1210000000001,9.002185821533203,220.9612579345703,nan
454,5,108.92000000000019,9.146681785583496,201.55892944335938,nan
509,6,-327.57500000000005,9.634018898010254,109.91795349121094,nan
588,7,-237.39000000000001,9.027719497680664,164.22357177734375,nan
659,8,-621.1019999999999,15.290356636047363,66.20580291748047,nan
758,9,-118.95600000000009,13.044743537902832,68.49517822265625,nan
828,10,-92.18000000000012,12.262775421142578,181.9933319091797,nan
910,11,-247.92799999999994,11.137683868408203,120.70806121826172,nan
1000,12,-92.30099999999985,11.795869827270508,74.16532135009766,nan
1084,13,81.48600000000002,9.556462287902832,124.85553741455078,nan
1145,14,-78.131,14.17623233795166,152.07432556152344,nan
1232,15,-100.42600000000016,9.78513240814209,284.6728515625,nan
1286,16,-10.89400000000002,10.821419715881348,269.3048400878906,nan
1327,17,-371.736,13.223435401916504,104.10649108886719,nan
1415,18,-420.71500000000003,14.269209861755371,126.7110824584961,nan
1489,19,-92.21299999999991,14.605706214904785,213.50827026367188,nan
1577,20,-288.24299999999994,9.857402801513672,284.4615478515625,nan
1676,21,194.61199999999977,7.676584720611572,111.04596710205078,nan
1762,22,-381.43999999999994,11.43350887298584,699.0912475585938,nan
1873,23,139.99700000000024,11.376137733459473,96.44751739501953,nan
1932,24,-34.415000000000006,10.965039253234863,194.6262664794922,nan
1991,25,-108.47300000000007,12.430734634399414,92.59673309326172,nan
2073,26,-261.505,16.009016036987305,66.33705139160156,nan
2143,27,-360.2900000000001,8.952804565429688,394.4832763671875,nan
2212,28,-385.83900000000006,12.489716529846191,135.76950073242188,nan
2312,29,94.089,11.611655235290527,70.47106170654297,nan
2366,30,-295.52400000000006,10.77989673614502,50.19187927246094,nan
2426,31,-676.871,21.526386260986328,198.0552520751953,nan
2494,32,52.811000000000085,17.173189163208008,59.27495193481445,nan
2560,33,-101.50700000000002,16.81591033935547,117.57051849365234,nan
2644,34,33.818000000000076,10.510494232177734,169.20152282714844,nan
2713,35,-95.89900000000006,12.867929458618164,165.62579345703125,nan
2785,36,-172.506,15.409846305847168,76.70294952392578,nan
2882,37,-617.5730000000002,11.048083305358887,137.41249084472656,nan
2952,38,-266.47499999999997,17.909832000732422,167.214111328125,nan
3036,39,-279.2740000000001,13.494046211242676,67.84307861328125,nan
3092,40,-214.572,19.334123611450195,70.13005828857422,nan
3168,41,-107.87199999999994,11.59570598602295,134.4102020263672,nan
3247,42,150.13799999999998,11.372114181518555,107.81047058105469,nan
3321,43,-27.350999999999956,18.280094146728516,43.502464294433594,nan
3375,44,-145.139,9.439727783203125,118.77582550048828,nan
3458,45,-748.306,12.143341064453125,261.4371032714844,nan
3519,46,-143.8789999999999,17.732011795043945,169.2301483154297,nan
3602,47,-8.553999999999974,15.906862258911133,95.81375885009766,nan
3679,48,-6.590000000000117,13.125190734863281,62.67047882080078,nan
3748,49,-217.58999999999997,15.004573822021484,109.56249237060547,nan
3809,50,-448.702,16.9111328125,46.83359909057617,nan
3866,51,-291.381,15.354846954345703,117.13995361328125,nan
3922,52,-118.42800000000003,14.532454490661621,103.51829528808594,nan
4008,53,-535.3019999999999,12.080863952636719,97.13856506347656,nan
4071,54,-105.854,18.3033504486084,37.58375549316406,nan
4140,55,-164.342,16.54824447631836,134.22373962402344,nan
4199,56,-85.80999999999992,11.259322166442871,275.01910400390625,nan
4263,57,-71.34900000000002,15.803263664245605,612.1180419921875,nan
4317,58,-289.29400000000004,22.987503051757812,180.08480834960938,nan
4397,59,-203.72000000000008,14.806931495666504,55.33031463623047,nan
4487,60,-499.90200000000004,10.904804229736328,54.39140319824219,nan
4542,61,-270.9200000000001,16.58441925048828,88.97471618652344,nan
4626,62,-371.14599999999996,19.46887969970703,104.87381744384766,nan
4685,63,-256.658,13.053168296813965,60.436851501464844,nan
4776,64,-87.55600000000007,15.24017333984375,47.62849426269531,nan
4827,65,-238.12800000000004,17.98903465270996,61.683197021484375,nan
4909,66,-762.596,20.786623001098633,68.9671859741211,nan
4959,67,-153.40900000000008,16.286556243896484,118.61001586914062,nan
5043,68,-100.71899999999994,18.80286979675293,163.5835723876953,nan
5120,69,-133.22500000000014,16.666973114013672,65.59038543701172,nan
5211,70,-97.639,16.437301635742188,283.77252197265625,nan
5268,71,-362.868,17.603517532348633,68.5130844116211,nan
5360,72,-108.57700000000006,15.13927173614502,95.37481689453125,nan
5425,73,-169.625,15.908023834228516,135.0265655517578,nan
5517,74,-73.45699999999988,19.771759033203125,52.65711975097656,nan
5605,75,-64.59900000000019,19.707611083984375,158.1337890625,nan
5681,76,-800.4939999999999,14.141871452331543,62.509056091308594,nan
5767,77,-133.692,21.307294845581055,51.01322555541992,nan
5815,78,-226.22199999999984,11.258903503417969,189.196044921875,nan
5881,79,-377.177,19.37787437438965,50.24739456176758,nan
5939,80,-245.27499999999998,17.231159210205078,66.4844741821289,nan
6026,81,-127.47300000000004,21.011577606201172,290.9272766113281,nan
6084,82,-220.61299999999994,14.383049964904785,103.6760482788086,nan
6137,83,-130.4369999999999,17.753803253173828,55.582557678222656,nan
6200,84,-581.7370000000002,27.505615234375,95.26531982421875,nan
6265,85,-305.4640000000001,16.196247100830078,83.10758972167969,nan
6355,86,-277.0300000000001,19.493865966796875,25.690277099609375,nan
6410,87,-67.27700000000009,22.607934951782227,211.3571014404297,nan
6477,88,-72.13900000000014,22.67396354675293,137.6818084716797,nan
6528,89,-363.49,24.171489715576172,43.07067108154297,nan
6598,90,-563.42,22.00058364868164,93.90374755859375,nan
6721,91,-93.49300000000045,21.580698013305664,256.2240905761719,nan
6807,92,-134.45700000000014,20.31147003173828,98.21753692626953,nan
6866,93,-51.30200000000002,19.4952392578125,60.99071502685547,nan
6921,94,-273.293,22.638206481933594,44.01191711425781,nan
6987,95,-266.417,19.594287872314453,89.89994812011719,nan
7054,96,-213.23100000000005,25.391155242919922,87.00885009765625,nan
7127,97,-332.1840000000001,17.347089767456055,39.484432220458984,nan
