step,loss,mean_q,max_q,cql_term
2000,12.110288619995117,-5.007083415985107,22.460222244262695,3.7698826789855957
4000,13.66881275177002,-4.302218914031982,54.59844970703125,4.0217485427856445
6000,20.2342472076416,0.15496820211410522,79.43572998046875,3.2413294315338135
8000,13.360372543334961,3.937720775604248,104.47412109375,3.2748379707336426
10000,18.415559768676758,12.119751930236816,132.03663635253906,2.870922565460205
12000,15.545300483703613,19.45527458190918,154.43992614746094,2.9012393951416016
14000,17.03915023803711,31.563535690307617,172.7576904296875,3.3017690181732178
16000,14.475486755371094,41.31275177001953,193.5218963623047,3.0874760150909424
18000,14.12415599822998,50.544918060302734,209.94146728515625,3.0858566761016846
20000,19.466625213623047,72.81129455566406,240.29408264160156,3.216463565826416
22000,12.110245704650879,79.18403625488281,253.81869506835938,2.9725403785705566
24000,20.311813354492188,80.41326904296875,259.36151123046875,2.6031792163848877
26000,23.306777954101562,94.6478271484375,281.0130615234375,2.799633741378784
28000,38.848541259765625,101.72352600097656,298.8520812988281,3.808659791946411
30000,29.31226348876953,112.20860290527344,310.88385009765625,3.0663132667541504
