step,episode,return,loss,model_loss,eval_cost_per_order
55,0,-250.74999999999994,nan,nan,nan
134,1,-579.5009999999999,17.753498077392578,665.4934692382812,nan
203,2,-358.56800000000004,33.86081314086914,482.98748779296875,nan
272,3,-498.90899999999993,5.343894958496094,271.2864990234375,nan
323,4,-337.94200000000006,18.64307403564453,383.7856750488281,nan
412,5,-245.24100000000018,20.516767501831055,165.92959594726562,nan
473,6,58.24199999999998,14.034509658813477,156.16407775878906,nan
566,7,41.39299999999986,18.240053176879883,226.8113555908203,nan
670,8,-36.805000000000064,9.4142427444458,134.30348205566406,nan
748,9,-27.036000000000115,15.617466926574707,72.57170104980469,nan
816,10,-128.86799999999994,11.362323760986328,52.44636917114258,nan
906,11,-340.7650000000001,11.43244743347168,32.786651611328125,nan
1004,12,67.91599999999988,13.115159034729004,81.63539123535156,nan
1059,13,-376.69200000000006,17.947898864746094,39.73451614379883,nan
1138,14,-463.45599999999996,14.27934741973877,115.270751953125,nan
1196,15,-290.61000000000007,9.939647674560547,163.27407836914062,nan
1254,16,-93.95700000000006,14.996028900146484,58.06103515625,nan
1327,17,-369.8100000000001,11.774368286132812,35.62480926513672,nan
1388,18,-337.30899999999997,17.22636604309082,62.065311431884766,nan
1438,19,-444.86799999999994,10.695923805236816,69.49482727050781,nan
1517,20,153.87199999999996,11.79426097869873,272.83740234375,nan
1596,21,63.614999999999796,13.404166221618652,26.21100425720215,nan
1659,22,-526.9979999999999,13.795304298400879,52.3021354675293,nan
1721,23,-145.81799999999998,9.457601547241211,128.787109375,nan
1801,24,-183.41699999999997,6.601900577545166,73.64474487304688,nan
1885,25,-208.7820000000001,12.83975887298584,26.982946395874023,nan
1973,26,-39.00499999999994,7.70277214050293,37.25141525268555,nan
2063,27,-549.7690000000001,10.78484058380127,180.65060424804688,nan
2121,28,-550.491,16.87198829650879,558.445556640625,nan
2199,29,-192.29499999999996,7.500011444091797,109.21208190917969,nan
2273,30,-228.38000000000008,10.881709098815918,72.22489929199219,nan
2373,31,-77.17000000000004,8.710996627807617,63.66937255859375,nan
2469,32,-213.28200000000004,13.536999702453613,45.528133392333984,nan
2535,33,-170.25799999999995,9.440457344055176,319.8583679199219,nan
2582,34,-187.31800000000004,8.156144142150879,46.434871673583984,nan
2652,35,-205.43399999999994,10.423233985900879,81.65555572509766,nan
2722,36,-77.55000000000004,7.344832897186279,64.57160186767578,nan
2794,37,-170.703,13.039183616638184,28.89743423461914,nan
2855,38,-226.57100000000008,12.649260520935059,49.364444732666016,nan
2969,39,232.2240000000001,9.887482643127441,36.09339141845703,nan
3036,40,-318.97200000000015,12.102171897888184,36.72551345825195,nan
3095,41,-324.28999999999996,16.18992805480957,54.42598342895508,nan
3192,42,-665.4899999999999,12.002513885498047,60.617942810058594,nan
3295,43,-325.51399999999995,11.075881004333496,193.2772674560547,nan
3344,44,-435.8309999999999,14.01330280303955,208.2655029296875,nan
3444,45,-367.2560000000001,16.11759376525879,55.80824279785156,nan
3511,46,-363.291,7.614436149597168,132.15660095214844,nan
3575,47,-156.126,11.531463623046875,81.11590576171875,nan
3652,48,-542.413,9.29537582397461,78.82612609863281,nan
3703,49,-89.65299999999999,8.868570327758789,116.71436309814453,nan
3784,50,-102.30900000000005,8.084782600402832,82.43063354492188,nan
3852,51,-500.53200000000004,15.435386657714844,88.89421844482422,nan
3946,52,-289.61400000000003,12.655847549438477,39.99691390991211,nan
4021,53,-258.6139999999999,9.746936798095703,72.94837951660156,nan
4100,54,-169.23600000000008,12.510137557983398,51.71534729003906,nan
4191,55,-252.632,8.69723129272461,91.43302154541016,nan
4253,56,-176.32200000000006,12.042179107666016,180.7218780517578,nan
4317,57,-222.5799999999999,7.993409633636475,180.50546264648438,nan
4385,58,-98.45100000000002,10.053882598876953,164.0198974609375,nan
4453,59,-37.802999999999955,10.990028381347656,137.47927856445312,nan
4526,60,-401.717,11.557059288024902,22.86768341064453,nan
4594,61,-310.9660000000001,13.574366569519043,45.10085678100586,nan
4674,62,-131.02600000000007,7.797797679901123,37.62611389160156,nan
4741,63,-192.1039999999999,13.85604190826416,42.0719108581543,nan
4818,64,-40.160999999999916,10.448352813720703,40.512413024902344,nan
4880,65,-61.440999999999974,7.044681549072266,45.56219482421875,nan
4957,66,-339.3860000000002,10.350166320800781,68.58574676513672,nan
5044,67,132.94200000000004,10.002412796020508,108.774169921875,nan
5138,68,150.01800000000011,11.516752243041992,33.0338020324707,nan
5217,69,-32.21300000000007,10.661148071289062,50.03883361816406,nan
5274,70,-79.76800000000006,10.618959426879883,35.774932861328125,nan
5340,71,-161.06600000000003,10.226096153259277,47.13893127441406,nan
5431,72,135.45999999999978,9.321840286254883,39.33274841308594,nan
5526,73,-208.24500000000006,7.589333534240723,102.19562530517578,nan
5598,74,-606.1990000000001,17.73427391052246,56.11686325073242,nan
5652,75,-170.19000000000005,10.465862274169922,57.37221908569336,nan
5749,76,69.34300000000016,4.159451007843018,52.05455780029297,nan
5857,77,26.554999999999808,8.166542053222656,95.84393310546875,nan
5934,78,-999.5199999999999,8.934830665588379,62.88096618652344,nan
6010,79,-139.667,13.854168891906738,43.267635345458984,nan
6096,80,-1010.7189999999999,11.251384735107422,39.73236083984375,nan
6170,81,-355.12199999999996,14.883757591247559,40.384037017822266,nan
6269,82,-438.7409999999999,6.774247169494629,39.45403289794922,nan
6346,83,-422.8510000000001,10.535961151123047,40.113128662109375,nan
6409,84,-117.42900000000009,11.390613555908203,73.55555725097656,nan
6494,85,31.08499999999995,14.810384750366211,363.29827880859375,nan
6573,86,-322.006,10.964669227600098,51.55010986328125,nan
6636,87,-485.152,12.14166259765625,37.10819625854492,nan
6735,88,-137.89799999999985,13.549488067626953,58.9038200378418,nan
6819,89,-78.825,9.52092456817627,83.02384185791016,nan
6886,90,-163.57499999999996,14.712869644165039,255.69361877441406,nan
6941,91,-91.43500000000002,11.86146354675293,29.331073760986328,nan
7020,92,-264.242,9.73715877532959,29.703311920166016,nan
7091,93,-8.262,11.561677932739258,73.25732421875,nan
7158,94,-131.38799999999992,9.078614234924316,44.2033805847168,nan
7212,95,-200.81400000000008,19.12085723876953,26.145009994506836,nan
7274,96,-310.1089999999999,18.104469299316406,69.98963165283203,nan
7330,97,-40.350999999999914,12.142488479614258,40.519386291503906,nan
7407,98,-102.89100000000005,13.273042678833008,70.94823455810547,nan
7475,99,-64.41099999999997,6.698551654815674,79.94065856933594,nan
7547,100,-523.9470000000001,12.701238632202148,44.61674118041992,nan
7632,101,-72.85099999999994,11.935237884521484,24.27679443359375,nan
7699,102,42.2240000000001,10.747681617736816,15.769439697265625,nan
7754,103,-157.90499999999994,10.135027885437012,53.025306701660156,nan
7815,104,-69.06099999999996,10.978736877441406,34.56102752685547,nan
7876,105,-1027.486,9.663904190063477,60.884422302246094,nan
7986,106,224.81800000000035,11.510416030883789,125.53987121582031,nan
8047,107,-31.840000000000117,12.656486511230469,97.58690643310547,nan
8101,108,-174.41400000000013,20.21157455444336,76.08988189697266,nan
8199,109,184.30499999999972,10.764728546142578,19.4435977935791,nan
8294,110,-45.156999999999925,12.309069633483887,35.330589294433594,nan
8381,111,-23.445999999999998,8.209158897399902,45.64687728881836,nan
8460,112,-304.8679999999998,5.345964431762695,16.388521194458008,nan
8573,113,-337.27199999999993,10.6245756149292,36.186500549316406,nan
8646,114,37.94099999999996,12.346521377563477,30.12966537475586,nan
8725,115,-209.16200000000006,6.918613433837891,36.67274856567383,nan
8776,116,-265.624,16.86550521850586,15.930176734924316,nan
8851,117,-54.61499999999985,14.497541427612305,38.599998474121094,nan
8933,118,-58.79299999999995,11.378137588500977,65.1125259399414,nan
9008,119,-520.267,8.916690826416016,29.163496017456055,nan
9078,120,-564.512,14.978291511535645,24.428281784057617,nan
9170,121,-354.495,8.161752700805664,43.34905242919922,nan
9245,122,-81.9270000000001,10.761542320251465,37.86981964111328,nan
9317,123,-74.776,14.58092212677002,42.34159851074219,nan
9380,124,-315.3000000000001,9.890032768249512,68.642333984375,nan
9450,125,-124.94999999999989,13.832332611083984,20.350509643554688,nan
9515,126,-214.238,10.306074142456055,135.19041442871094,nan
