step,episode,return,policy_loss,value_loss,entropy,eval_cost_per_order
83,0,-405.49900000000014,-634.25830078125,213.48760986328125,3.0039703845977783,nan
184,1,-960.9090000000001,-226.4860076904297,79.55182647705078,2.8321304321289062,nan
287,2,96.92899999999997,-470.4647216796875,179.7853240966797,2.6119205951690674,nan
378,3,-453.22600000000017,-756.0770874023438,290.0752868652344,2.70908522605896,nan
488,4,-232.3740000000002,-613.8123779296875,222.51693725585938,2.7330286502838135,nan
578,5,-357.889,-771.6799926757812,250.4578399658203,3.060290813446045,nan
663,6,-37.82900000000001,-723.1880493164062,255.6276397705078,2.750821590423584,nan
767,7,-88.59199999999998,-613.1270141601562,202.74465942382812,3.0300519466400146,nan
854,8,-151.85100000000017,-485.74908447265625,158.36767578125,3.068849563598633,nan
959,9,132.92999999999984,-582.3626708984375,205.16989135742188,2.8226630687713623,nan
1024,10,-173.383,-454.82891845703125,165.6157684326172,2.7446584701538086,nan
1067,11,-250.51100000000002,-842.7369995117188,277.7229309082031,2.9816572666168213,nan
1196,12,48.15100000000001,-969.3411254882812,329.6155700683594,2.968655824661255,nan
1273,13,1.329999999999984,-257.0894470214844,122.23976135253906,2.1122868061065674,nan
1323,14,-197.14899999999994,-720.3919067382812,241.0005645751953,2.9898719787597656,nan
1397,15,-220.42600000000002,-749.6625366210938,270.64227294921875,2.804760456085205,nan
1491,16,-269.31800000000004,-704.6486206054688,273.54010009765625,2.6172502040863037,nan
1569,17,-704.495,-1443.135986328125,525.1185302734375,2.745056390762329,nan
1627,18,-118.34000000000006,-259.7869873046875,100.80308532714844,2.605064630508423,nan
1706,19,-21.435999999999986,-399.6598815917969,163.6483612060547,2.4254398345947266,nan
1795,20,-102.78600000000014,-433.47576904296875,171.8933868408203,2.5151729583740234,nan
1883,21,-276.3580000000002,-750.7030639648438,263.8539733886719,2.858717918395996,nan
1955,22,-208.65400000000005,-770.6328125,288.9361572265625,2.6282122135162354,nan
2051,23,82.23600000000008,-445.70123291015625,180.40626525878906,2.3672711849212646,nan
2097,24,-249.44800000000006,-768.259521484375,300.5666198730469,2.7062904834747314,nan
