step,episode,return,policy_loss,value_loss,entropy,eval_cost_per_order
89,0,-167.83000000000004,-867.4419555664062,301.1751708984375,2.88067626953125,nan
163,1,-511.66399999999993,-1024.7724609375,339.4740905761719,3.021754026412964,nan
245,2,-37.673999999999864,-865.132568359375,291.3201904296875,2.968482255935669,nan
329,3,-98.67099999999992,-508.9544982910156,167.7092742919922,3.0156943798065186,nan
400,4,-249.29999999999984,-980.3926391601562,351.3716125488281,2.7288029193878174,nan
475,5,-40.134000000000185,-513.654052734375,199.42291259765625,2.5265591144561768,nan
527,6,-270.20199999999994,-861.3840942382812,340.8665466308594,2.615281343460083,nan
601,7,-284.65,-964.3186645507812,320.549560546875,3.0242252349853516,nan
663,8,-435.991,-640.4586791992188,252.50027465820312,2.6716737747192383,nan
743,9,-64.70200000000011,-477.92938232421875,180.21505737304688,2.6259751319885254,nan
836,10,-49.24300000000003,-542.010009765625,195.82252502441406,2.7603163719177246,nan
932,11,-274.2800000000001,-852.1671142578125,282.81732177734375,2.98753023147583,nan
1011,12,-230.15699999999978,-801.0078125,286.32550048828125,2.7465109825134277,nan
1111,13,69.84500000000016,-472.9263610839844,177.58602905273438,2.6843934059143066,nan
1190,14,-1151.887,-1408.735107421875,476.4537048339844,2.997157335281372,nan
1290,15,-1.101000000000056,-525.1329956054688,211.6160888671875,2.3343544006347656,nan
1368,16,-35.22500000000002,-361.4403076171875,171.2996063232422,2.1014835834503174,nan
1412,17,-290.743,-358.2819519042969,132.5439453125,2.6908416748046875,nan
1486,18,-3.756999999999948,-498.76910400390625,200.681884765625,2.3807199001312256,nan
1554,19,18.31299999999993,-457.3271484375,193.8057098388672,2.4664103984832764,nan
1635,20,76.833,-602.2684936523438,205.0388641357422,2.887612819671631,nan
1747,21,-170.37,-837.2820434570312,306.056396484375,2.765789747238159,nan
1813,22,-148.50900000000001,-718.2853393554688,248.2304229736328,2.8667361736297607,nan
1928,23,-157.798,-969.6932373046875,328.09075927734375,2.9159624576568604,nan
1988,24,-172.49899999999997,-563.3060302734375,231.36471557617188,2.4567081928253174,nan
2051,25,-631.9130000000001,-505.2171936035156,174.80311584472656,2.8301680088043213,nan
2120,26,-126.8429999999999,-820.0082397460938,281.76373291015625,2.83906888961792,nan
2207,27,-35.00600000000004,-554.4705200195312,209.55397033691406,2.695782423019409,nan
2273,28,-609.106,-829.5963745117188,280.1541442871094,2.927635431289673,nan
2369,29,-109.275,-638.252685546875,225.0715789794922,2.8322057723999023,nan
2444,30,45.24500000000015,-561.1428833007812,194.56141662597656,2.931501626968384,nan
2509,31,-338.91600000000005,-316.11895751953125,116.92095947265625,2.7781128883361816,nan
2592,32,-259.179,-457.8788757324219,159.8181610107422,2.880922317504883,nan
2656,33,-207.13599999999997,-603.3017578125,196.59259033203125,3.0759639739990234,nan
2732,34,-298.929,-872.9953002929688,323.7124328613281,2.730090618133545,nan
2810,35,-44.40099999999994,-421.7137756347656,152.4674835205078,2.694498300552368,nan
2911,36,-201.09600000000023,-267.4099426269531,80.08183288574219,3.0749478340148926,nan
2983,37,-177.01099999999985,-639.9921875,217.8330841064453,2.8549306392669678,nan
3063,38,-111.58999999999992,-432.73065185546875,174.22108459472656,2.56561017036438,nan
3151,39,-416.1919999999999,-1094.4869384765625,360.6249084472656,3.0719151496887207,nan
3226,40,-106.96200000000009,-535.8013916015625,205.80245971679688,2.7141566276550293,nan
3328,41,-945.9770000000001,-439.6479187011719,148.1461639404297,3.056157112121582,nan
3420,42,-518.748,-1177.0445556640625,404.6416320800781,2.925130844116211,nan
3498,43,-142.245,-457.53607177734375,168.94821166992188,2.664458990097046,nan
3551,44,-219.83199999999994,-661.4185180664062,221.81719970703125,3.018279790878296,nan
3623,45,-162.98699999999994,-710.13525390625,257.914794921875,2.859509229660034,nan
3670,46,-129.64700000000002,-549.3489990234375,267.32489013671875,2.1924331188201904,nan
3747,47,-288.5680000000001,-890.9147338867188,342.1579895019531,2.638239860534668,nan
3811,48,-256.16,-551.6627807617188,198.38473510742188,2.79404354095459,nan
3868,49,-203.4490000000001,-653.2825927734375,268.0411071777344,2.473729372024536,nan
3920,50,-134.784,-649.2037963867188,251.2594757080078,2.5788252353668213,nan
4005,51,-399.40300000000013,-473.30279541015625,152.95001220703125,2.956882953643799,nan
4069,52,-358.724,-241.34844970703125,100.26797485351562,2.4523062705993652,nan
4132,53,94.0389999999999,-389.7936096191406,160.2370147705078,2.5014235973358154,nan
4205,54,-287.55999999999995,-615.007568359375,223.09591674804688,2.7515368461608887,nan
4265,55,-202.25,-593.179443359375,241.7594757080078,2.518820285797119,nan
4335,56,-255.95200000000006,-855.8084106445312,283.9037780761719,2.941943645477295,nan
4388,57,-541.9770000000001,-943.7372436523438,337.8871765136719,2.831895589828491,nan
4442,58,-776.249,-1083.58251953125,365.5068664550781,2.9057583808898926,nan
4498,59,-470.0260000000001,-991.4295654296875,404.5108337402344,2.516300678253174,nan
4597,60,-261.6930000000001,-937.3233032226562,338.1521301269531,2.8064122200012207,nan
4656,61,-592.3230000000001,-1367.6463623046875,464.6539306640625,3.0061628818511963,nan
4720,62,-221.6780000000001,-800.5967407226562,254.22840881347656,3.023216724395752,nan
4779,63,-295.015,-932.2459716796875,306.12493896484375,3.0362253189086914,nan
4842,64,-425.8810000000001,-1043.9085693359375,320.24212646484375,3.0160491466522217,nan
4905,65,-735.2800000000001,-539.7963256835938,184.9302215576172,2.7857353687286377,nan
4959,66,-199.18799999999996,-938.9352416992188,333.7748107910156,2.7082138061523438,nan
5034,67,-146.14600000000013,-496.3486633300781,192.94935607910156,2.5443577766418457,nan
5136,68,9.284000000000162,-500.1556091308594,168.01913452148438,3.0511817932128906,nan
5221,69,47.68299999999996,-533.1644287109375,228.9651336669922,2.546576738357544,nan
