step,episode,return,loss,epsilon,eval_cost_per_order
67,0,-144.842,9.669967651367188,0.9993635,nan
142,1,-339.14400000000006,8.848467826843262,0.998651,nan
211,2,-517.4820000000001,13.347067832946777,0.9979955,nan
292,3,3.370999999999924,7.365507125854492,0.997226,nan
344,4,-324.1210000000001,15.373948097229004,0.996732,nan
454,5,108.92000000000019,6.004651069641113,0.995687,nan
509,6,-327.57500000000005,12.40911865234375,0.9951645,nan
588,7,-237.39000000000001,12.196268081665039,0.994414,nan
659,8,-621.1019999999999,10.713815689086914,0.9937395,nan
758,9,-118.95600000000009,8.786602020263672,0.992799,nan
831,10,-71.58000000000011,15.47788143157959,0.9921055,nan
915,11,-99.75800000000007,11.96227741241455,0.9913075,nan
989,12,-99.21100000000007,6.346303462982178,0.9906045,nan
1138,13,229.66799999999986,7.717128753662109,0.989189,nan
1200,14,-245.5730000000001,3.9860267639160156,0.9886,nan
1282,15,149.11399999999986,8.092716217041016,0.987821,nan
1346,16,-335.96700000000004,7.181328296661377,0.987213,nan
1390,17,-495.245,19.317882537841797,0.986795,nan
1472,18,-86.84799999999989,7.708913803100586,0.986016,nan
1539,19,-477.106,9.185352325439453,0.9853795,nan
1601,20,-17.300000000000068,11.386762619018555,0.9847905,nan
1710,21,-364.18399999999997,10.724481582641602,0.983755,nan
1776,22,-131.36,7.6103129386901855,0.983128,nan
1883,23,-92.26900000000006,7.207457065582275,0.9821115,nan
1953,24,-94.25999999999993,9.266012191772461,0.9814465,nan
2018,25,-471.3700000000001,9.737194061279297,0.980829,nan
2101,26,-301.34899999999993,11.936792373657227,0.9800405,nan
2191,27,-180.27499999999995,9.166726112365723,0.9791855,nan
2270,28,-181.54999999999998,7.23867130279541,0.9784349999999999,nan
2355,29,-227.806,5.919613838195801,0.9776275,nan
2415,30,-400.7710000000001,5.491274356842041,0.9770575,nan
2471,31,-375.3119999999999,13.594195365905762,0.9765255,nan
2531,32,-25.3900000000001,11.421525001525879,0.9759555,nan
2597,33,-322.1880000000001,12.260041236877441,0.9753285,nan
2694,34,-238.06499999999997,10.13704776763916,0.974407,nan
2772,35,151.74199999999996,5.593782424926758,0.973666,nan
2865,36,-1143.2869999999998,5.9318366050720215,0.9727825,nan
2933,37,-257.49300000000005,6.330957889556885,0.9721365,nan
3009,38,-273.2450000000001,5.755470275878906,0.9714145,nan
3074,39,4.999000000000024,14.457088470458984,0.970797,nan
3152,40,-275.49700000000007,8.097074508666992,0.970056,nan
3262,41,-460.37100000000004,8.03364086151123,0.969011,nan
3321,42,-115.966,7.970919132232666,0.9684505,nan
3396,43,-222.58,8.2633056640625,0.967738,nan
3448,44,-552.2439999999999,11.473031044006348,0.967244,nan
3527,45,-213.49899999999997,6.750802993774414,0.9664935,nan
3592,46,-134.86900000000014,12.705061912536621,0.965876,nan
3662,47,-142.12300000000008,10.207046508789062,0.965211,nan
3742,48,-2.7860000000000014,13.1149320602417,0.964451,nan
3800,49,-390.56500000000005,10.282240867614746,0.9639,nan
3855,50,-403.58000000000004,9.52824592590332,0.9633775,nan
3916,51,-205.712,8.082712173461914,0.962798,nan
3977,52,-277.466,6.203701019287109,0.9622185,nan
4056,53,-216.5949999999999,11.611079216003418,0.961468,nan
4107,54,-261.69399999999985,11.63348388671875,0.9609835,nan
4165,55,-97.81100000000004,10.605615615844727,0.9604325,nan
4243,56,-581.903,11.381669044494629,0.9596915,nan
4304,57,-603.95,7.420520782470703,0.959112,nan
4363,58,-204.107,9.453530311584473,0.9585515,nan
4431,59,-425.66499999999996,12.814615249633789,0.9579055,nan
4533,60,24.97600000000017,12.557571411132812,0.9569365,nan
4595,61,-879.078,9.055489540100098,0.9563475,nan
4667,62,-326.32200000000006,6.300283432006836,0.9556635,nan
4727,63,-848.7139999999999,7.96096658706665,0.9550935,nan
4795,64,-312.043,11.684626579284668,0.9544475,nan
4856,65,-543.2860000000001,7.812310695648193,0.953868,nan
4927,66,-1.0699999999999932,13.96265983581543,0.9531935,nan
4974,67,-503.3300000000001,14.608266830444336,0.952747,nan
5052,68,-101.73400000000005,9.294129371643066,0.952006,nan
5120,69,-77.56500000000008,10.015827178955078,0.95136,nan
5207,70,-88.8690000000002,9.194530487060547,0.9505335,nan
5252,71,-209.86900000000003,11.901082992553711,0.950106,nan
5325,72,-130.55700000000016,7.175639629364014,0.9494125,nan
5398,73,-450.5490000000001,9.809660911560059,0.948719,nan
