step,episode,return,loss,epsilon,eval_cost_per_order
86,0,-122.73600000000008,14.71174430847168,0.999183,nan
177,1,-111.36799999999997,14.924518585205078,0.9983185,nan
273,2,27.154999999999816,10.2922945022583,0.9974065,nan
369,3,-386.80199999999996,9.539959907531738,0.9964945,nan
438,4,-152.36400000000015,11.168439865112305,0.995839,nan
546,5,-872.5049999999999,15.92300796508789,0.994813,nan
624,6,-166.70699999999997,10.811540603637695,0.994072,nan
732,7,213.38799999999998,13.372812271118164,0.993046,nan
802,8,-82.85100000000017,9.623754501342773,0.992381,nan
892,9,152.94999999999985,11.803945541381836,0.991526,nan
943,10,-169.62099999999998,9.141019821166992,0.9910415,nan
1008,11,-140.72799999999998,7.8453450202941895,0.990424,nan
1123,12,-57.326999999999956,12.801302909851074,0.9893315,nan
1183,13,-387.1669999999999,9.999184608459473,0.9887615,nan
1266,14,-151.3859999999999,9.67558765411377,0.987973,nan
1331,15,-199.69899999999996,8.836642265319824,0.9873555,nan
1390,16,-71.31400000000004,7.772950649261475,0.986795,nan
1461,17,-297.44899999999996,17.29358673095703,0.9861205,nan
1524,18,-176.70400000000004,14.761180877685547,0.985522,nan
1595,19,-84.09399999999995,12.379794120788574,0.9848475,nan
1656,20,-125.11399999999996,10.237470626831055,0.984268,nan
1721,21,-638.372,5.221195697784424,0.9836505,nan
1814,22,99.83499999999974,8.06212043762207,0.982767,nan
1883,23,-121.31500000000005,12.305366516113281,0.9821115,nan
1930,24,-317.856,9.776664733886719,0.981665,nan
2006,25,-332.02700000000004,6.57612419128418,0.980943,nan
2082,26,-61.03800000000007,11.224125862121582,0.980221,nan
2164,27,-14.395000000000124,8.91749382019043,0.979442,nan
2235,28,-52.04500000000009,9.810321807861328,0.9787675,nan
2299,29,-101.26799999999999,14.027528762817383,0.9781595,nan
2390,30,-452.95500000000004,19.03114128112793,0.977295,nan
2461,31,-100.94900000000001,12.303092956542969,0.9766205,nan
2512,32,-307.09600000000006,13.434751510620117,0.976136,nan
2594,33,-92.89199999999997,8.369366645812988,0.975357,nan
2700,34,-105.76700000000002,7.618895530700684,0.97435,nan
2773,35,-380.798,7.4863786697387695,0.9736565,nan
2849,36,-106.16200000000005,6.648378372192383,0.9729345,nan
2907,37,-390.83299999999997,6.539971351623535,0.9723835,nan
2962,38,-144.46399999999997,15.844619750976562,0.971861,nan
3057,39,-408.397,6.59183406829834,0.9709585000000001,nan
3111,40,-185.711,10.783023834228516,0.9704455,nan
3167,41,-178.72500000000005,5.718868732452393,0.9699135,nan
3227,42,-325.504,10.117341041564941,0.9693435,nan
3323,43,17.02900000000001,11.687710762023926,0.9684315,nan
3384,44,-76.64299999999997,7.274008274078369,0.967852,nan
3496,45,-81.00900000000009,7.951251029968262,0.966788,nan
3563,46,-87.08699999999997,6.380621433258057,0.9661515,nan
3647,47,19.897000000000148,10.012904167175293,0.9653535,nan
3710,48,-110.67700000000008,11.012670516967773,0.964755,nan
3790,49,-473.7260000000001,10.066617012023926,0.963995,nan
3847,50,-204.97999999999996,4.882844924926758,0.9634535,nan
3936,51,-25.585000000000022,7.166781902313232,0.962608,nan
4017,52,-426.20099999999996,9.390825271606445,0.9618385,nan
4080,53,-271.9179999999999,11.693719863891602,0.96124,nan
4153,54,-71.50699999999998,6.592363357543945,0.9605465,nan
4215,55,-172.05600000000004,5.729378700256348,0.9599575,nan
4269,56,-129.957,10.461480140686035,0.9594445,nan
4337,57,-91.40600000000006,11.16420841217041,0.9587985,nan
4462,58,-41.67900000000029,8.891313552856445,0.957611,nan
4551,59,-153.8070000000001,11.894498825073242,0.9567655,nan
4617,60,-109.43399999999998,10.551249504089355,0.9561385,nan
4683,61,-225.642,7.454629421234131,0.9555115,nan
