step,reward
114,-251.1950000000001
199,-538.64
282,-622.288
372,-222.42700000000002
426,-674.6779999999999
485,-506.06399999999996
557,-135.68599999999992
619,-65.48299999999999
734,-108.84899999999998
795,-390.0769999999999
867,-772.9379999999999
941,7.7929999999998785
1013,-623.627
1088,-174.31199999999995
1179,-900.3040000000001
1280,-38.59800000000001
1349,-318.2829999999999
1420,-404.12100000000004
1510,-694.6570000000002
1578,-117.988
1657,-409.1029999999999
1708,-127.28400000000002
1775,-609.151
1841,-318.433
1911,-643.373
1972,-227.00599999999991
2037,-709.0600000000001
2136,-163.32700000000008
2224,-26.400000000000084
2294,-152.17200000000014
2381,-365.79
2466,-237.50200000000007
2549,-154.896
2612,-22.646000000000015
2695,-208.18500000000012
2750,-85.912
2808,-179.89899999999994
2891,55.94599999999994
2951,-771.812
3044,-32.281000000000034
3135,-609.8659999999999
3210,-108.08999999999993
3305,-120.04899999999999
3399,-341.44
3497,-89.85700000000006
3592,-96.61200000000002
3672,-278.448
3776,-425.798
3838,-17.059999999999945
3928,91.67900000000009
4010,-59.45399999999992
4102,-363.748
4182,-138.798
4254,-339.92699999999996
4341,-163.05299999999986
4423,-123.3419999999999
4482,-745.2819999999999
4560,-182.582
4618,-319.48800000000006
4681,-1083.2240000000002
4773,-377.89499999999975
4831,-421.799
4898,-953.8689999999998
4982,-1003.169
5040,-415.118
5099,-387.13300000000004
5156,-229.73399999999995
5244,-150.2489999999999
5304,-215.18400000000003
5380,-298.32800000000003
5453,-191.87099999999995
5524,-161.67399999999986
5600,-56.0840000000001
5665,-201.152
5751,-91.95900000000003
5807,-280.11300000000006
5891,-145.66300000000004
5943,-213.861
6022,-177.19899999999998
6105,-155.74999999999994
6160,-259.08799999999997
6222,-206.29199999999997
6284,-500.0780000000001
6347,-176.99900000000002
6409,-354.53600000000006
6488,-257.368
6580,-166.048
6630,-385.093
6700,-429.862
6773,-230.41300000000007
6822,-243.48100000000008
6896,-279.79999999999995
6946,-363.884
7040,-178.01200000000006
7098,-210.3169999999999
7152,-304.15899999999993
7214,-197.6880000000001
7281,-114.68299999999991
7352,-228.947
7433,-370.674
7515,-121.89199999999995
7577,-214.91600000000005
7649,-1.430000000000092
7723,-210.99699999999996
7790,-140.08699999999993
7850,-249.38500000000008
7917,-100.935
8015,-57.93200000000019
8079,-279.695
8176,-572.71
8239,-251.58199999999994
8306,-235.78300000000002
8362,-187.01
8447,-84.38600000000011
8529,5.7400000000000375
8582,-365.861
8652,-207.48400000000004
8726,-311.251
8793,-153.536
8849,-135.47
8926,-683.0289999999998
9000,-250.63099999999997
9074,-398.9449999999998
9148,-416.0250000000001
9223,-319.74500000000006
9297,-290.624
9363,-191.43000000000015
9434,-20.673000000000016
9511,-327.76099999999997
9586,-288.83399999999995
9659,-115.89299999999986
9741,-251.72699999999995
9802,-333.93600000000004
9870,-515.8280000000001
9973,-710.1400000000001
10066,-21.70399999999998
10157,-446.59
10215,-301.4649999999999
10270,-235.13900000000007
10366,-250.92800000000005
10473,-388.16499999999996
10566,-151.96700000000004
10652,-476.029
10733,-948.5010000000001
10821,-451.812
10944,-425.1299999999999
11030,-992.0639999999997
11157,-293.429
11291,-1178.3809999999999
11419,-446.62699999999995
11533,-771.686
11634,-968.8240000000001
11731,-755.279
11849,-815.4009999999998
11955,-1099.731
12017,-836.639
12157,-1111.5639999999999
12244,-560.1589999999999
12398,-1364.05
12519,-1494.7400000000002
12630,-1408.4530000000002
12765,-815.3239999999997
12908,-1235.3709999999999
13023,-1146.8980000000001
13208,-1232.257
13394,-1193.4479999999996
13527,-1028.0059999999996
13687,-1299.2189999999998
13842,-1028.5669999999998
13985,-1132.171
14091,-1477.7659999999998
14208,-1307.8069999999998
14392,-1037.1059999999998
14561,-1311.8410000000001
14700,-1192.1489999999997
14918,-1167.0959999999998
15079,-1343.7699999999998
15262,-1265.044
15370,-1121.9569999999999
15501,-1232.709
15654,-1354.5099999999998
15800,-1223.415
16015,-967.2550000000003
16163,-1084.526
16360,-1348.172
16518,-1264.977
16690,-1298.5490000000002
16870,-1080.6609999999998
17015,-1318.3549999999996
17133,-1124.243
17270,-1437.5269999999998
17458,-1349.1779999999999
17681,-1070.5289999999998
17839,-1054.2329999999997
18013,-1189.5609999999997
18137,-1298.7820000000006
18292,-1358.5229999999997
18414,-1333.094
18533,-1357.601
18736,-1267.4119999999998
