step,episode,return,loss,epsilon,eval_cost_per_order
55,0,-250.74999999999994,nan,0.9994775,nan
134,1,-579.5009999999999,17.831951141357422,0.998727,nan
203,2,-358.56800000000004,18.0271053314209,0.9980715,nan
272,3,-498.90899999999993,7.736526966094971,0.997416,nan
323,4,-337.94200000000006,17.397554397583008,0.9969315,nan
412,5,-245.24100000000018,18.848522186279297,0.996086,nan
473,6,58.24199999999998,13.531681060791016,0.9955065,nan
566,7,41.39299999999986,16.8011531829834,0.994623,nan
670,8,-36.805000000000064,11.960542678833008,0.993635,nan
748,9,-27.036000000000115,11.087810516357422,0.992894,nan
816,10,-128.86799999999994,19.445003509521484,0.992248,nan
906,11,-340.7650000000001,7.6722731590271,0.991393,nan
1004,12,67.91599999999988,12.198728561401367,0.990462,nan
1059,13,-376.69200000000006,14.189143180847168,0.9899395,nan
1138,14,-463.45599999999996,16.64934730529785,0.989189,nan
1196,15,-290.61000000000007,15.064005851745605,0.988638,nan
1254,16,-93.95700000000006,8.060174942016602,0.988087,nan
1327,17,-369.8000000000001,9.859781265258789,0.9873935,nan
1388,18,-337.30899999999997,13.625640869140625,0.986814,nan
1438,19,-444.86799999999994,19.409969329833984,0.986339,nan
1517,20,153.87199999999996,15.391267776489258,0.9855885,nan
1596,21,63.614999999999796,15.00705337524414,0.984838,nan
1659,22,-526.9979999999999,10.417084693908691,0.9842395,nan
1721,23,-145.81799999999998,14.43035888671875,0.9836505,nan
1807,24,-525.44,11.571189880371094,0.9828335,nan
1886,25,6.183999999999969,11.648026466369629,0.982083,nan
1961,26,-376.72900000000004,13.310291290283203,0.9813705,nan
2035,27,-221.54599999999988,11.815293312072754,0.9806675,nan
2089,28,-525.803,12.970382690429688,0.9801545,nan
2162,29,-58.37200000000011,13.048101425170898,0.979461,nan
2270,30,-452.006,11.536504745483398,0.9784349999999999,nan
2342,31,-50.56600000000006,16.84625244140625,0.977751,nan
2447,32,-461.6149999999999,9.903848648071289,0.9767535,nan
2513,33,-234.10899999999992,9.911118507385254,0.9761265,nan
2561,34,-234.76799999999994,10.228954315185547,0.9756705,nan
2624,35,-432.60300000000007,12.096277236938477,0.975072,nan
2709,36,-284.8370000000001,10.90034008026123,0.9742645,nan
2784,37,-361.09799999999996,11.194595336914062,0.973552,nan
2847,38,-414.674,14.062629699707031,0.9729535,nan
2944,39,-99.00300000000004,7.186131000518799,0.972032,nan
3008,40,-366.847,12.129390716552734,0.971424,nan
3067,41,-449.879,14.402334213256836,0.9708635,nan
3134,42,-25.123999999999967,13.76097583770752,0.970227,nan
3218,43,-83.43100000000015,12.232422828674316,0.969429,nan
3293,44,-350.789,13.830223083496094,0.9687165,nan
3352,45,-290.23799999999994,12.084526062011719,0.968156,nan
3433,46,-313.8900000000001,14.324960708618164,0.9673865,nan
3490,47,-139.497,5.0870184898376465,0.966845,nan
3576,48,-307.59299999999996,10.07343578338623,0.966028,nan
3635,49,-718.7480000000003,10.037932395935059,0.9654675,nan
3710,50,107.2179999999999,13.433011054992676,0.964755,nan
3762,51,-185.209,11.557474136352539,0.964261,nan
3842,52,-669.4659999999999,10.477402687072754,0.9635009999999999,nan
3906,53,-115.46599999999994,6.269437313079834,0.962893,nan
3998,54,-49.47099999999995,7.204250335693359,0.962019,nan
4075,55,-117.97199999999992,13.86217975616455,0.9612875,nan
4132,56,-78.51699999999995,9.576573371887207,0.960746,nan
4221,57,-298.08200000000005,13.625596046447754,0.9599005,nan
4316,58,-280.443,7.6967902183532715,0.958998,nan
4378,59,-64.94000000000005,10.319083213806152,0.958409,nan
4432,60,-488.60399999999987,6.366302967071533,0.957896,nan
4529,61,25.30799999999992,6.309030532836914,0.9569745000000001,nan
4589,62,-280.89200000000005,7.444999694824219,0.9564045,nan
4675,63,-63.54299999999988,6.272154808044434,0.9555875,nan
4763,64,-163.776,12.87247371673584,0.9547515,nan
4842,65,-159.68000000000004,12.66392707824707,0.954001,nan
4911,66,-225.0540000000001,6.200470924377441,0.9533455,nan
4982,67,18.79299999999978,10.374378204345703,0.952671,nan
5075,68,108.3259999999998,16.3467960357666,0.9517875,nan
5159,69,-5.133000000000052,11.9281587600708,0.9509895,nan
5229,70,-166.16600000000003,10.689821243286133,0.9503245,nan
5288,71,-251.38799999999998,19.360937118530273,0.949764,nan
5355,72,5.8559999999999945,15.502037048339844,0.9491275,nan
5466,73,-252.98700000000017,6.547596454620361,0.9480729999999999,nan
5520,74,-135.65100000000007,14.477194786071777,0.94756,nan
5613,75,-177.1860000000001,16.142227172851562,0.9466765,nan
5694,76,-120.51400000000004,8.96560287475586,0.945907,nan
5788,77,270.7959999999998,17.11980628967285,0.945014,nan
5871,78,-138.06200000000013,12.218161582946777,0.9442255,nan
5956,79,-253.06500000000005,6.661858081817627,0.943418,nan
6026,80,-296.53600000000006,10.191484451293945,0.942753,nan
6127,81,-241.50599999999983,11.073774337768555,0.9417935,nan
6188,82,-492.06300000000005,10.408329963684082,0.941214,nan
6252,83,-516.7560000000001,16.764238357543945,0.940606,nan
6315,84,-78.05700000000007,10.020051956176758,0.9400075,nan
6397,85,-1039.062,12.43313217163086,0.9392285,nan
6475,86,-95.29999999999994,9.893318176269531,0.9384875,nan
6532,87,-340.0910000000001,15.684292793273926,0.937946,nan
6623,88,-106.93499999999995,14.014192581176758,0.9370815,nan
6729,89,-111.18700000000018,15.378946304321289,0.9360745,nan
6799,90,-341.9920000000001,15.215282440185547,0.9354095,nan
6866,91,-322.85200000000003,10.451876640319824,0.934773,nan
6931,92,-8.60799999999989,4.374497413635254,0.9341555,nan
6996,93,59.95099999999991,17.60295867919922,0.933538,nan
7058,94,-92.72200000000015,16.282958984375,0.932949,nan
7118,95,-206.88299999999992,11.133023262023926,0.9323790000000001,nan
7165,96,-346.5640000000001,14.74638843536377,0.9319325,nan
7253,97,41.34099999999993,9.358663558959961,0.9310965,nan
7327,98,-93.904,9.063507080078125,0.9303935,nan
7399,99,-139.3090000000002,12.859701156616211,0.9297095,nan
7456,100,-256.205,10.299152374267578,0.929168,nan
7528,101,-514.605,11.782234191894531,0.928484,nan
7595,102,-296.08199999999994,8.79458236694336,0.9278475,nan
7662,103,-25.4970000000001,14.633270263671875,0.927211,nan
7730,104,-28.355999999999952,8.777336120605469,0.926565,nan
7793,105,-301.6500000000001,8.121333122253418,0.9259665,nan
7898,106,-88.06799999999983,11.527517318725586,0.924969,nan
7958,107,-74.56700000000012,8.724908828735352,0.924399,nan
8020,108,-473.703,9.635014533996582,0.92381,nan
8107,109,0.5779999999998893,5.736588954925537,0.9229835,nan
8158,110,-205.12700000000007,10.95364761352539,0.922499,nan
8228,111,-152.71999999999994,8.470155715942383,0.921834,nan
8283,112,-94.33199999999994,10.11594295501709,0.9213115000000001,nan
8381,113,-89.883,16.747650146484375,0.9203805,nan
8451,114,-40.57700000000008,16.670198440551758,0.9197155,nan
8532,115,-320.4600000000001,13.221695899963379,0.918946,nan
8601,116,16.673000000000002,9.592334747314453,0.9182905,nan
8670,117,-85.69000000000001,10.970086097717285,0.917635,nan
8735,118,-65.53900000000007,10.051987648010254,0.9170175,nan
8799,119,-421.64099999999996,11.262004852294922,0.9164095,nan
8870,120,-426.57400000000007,10.088357925415039,0.915735,nan
8951,121,26.745999999999867,24.44601821899414,0.9149655,nan
9022,122,-105.99900000000008,13.041664123535156,0.914291,nan
9092,123,-65.429,8.914487838745117,0.913626,nan
9170,124,-9.131999999999948,6.323757648468018,0.912885,nan
9246,125,-50.53500000000008,16.204593658447266,0.9121630000000001,nan
9318,126,-65.99799999999995,10.110942840576172,0.911479,nan
9375,127,-231.61900000000014,9.556163787841797,0.9109375,nan
9444,128,-418.3260000000001,11.382575988769531,0.910282,nan
9519,129,-234.5639999999999,13.804361343383789,0.9095695,nan
9596,130,-31.780000000000072,8.40684986114502,0.908838,nan
9673,131,-624.8199999999998,12.885140419006348,0.9081065,nan
9726,132,-251.20299999999992,17.980937957763672,0.907603,nan
9771,133,-145.558,13.631303787231445,0.9071755,nan
9844,134,-35.59199999999998,16.089576721191406,0.906482,nan
9913,135,-135.1610000000001,8.635293960571289,0.9058265,nan
9976,136,-731.3619999999999,11.77337646484375,0.905228,nan
10000,137,102.69,12.282967567443848,0.905,26.59414285714285
10052,137,71.14400000000006,14.894957542419434,0.904506,nan
10113,138,-118.12799999999987,7.820189476013184,0.9039265,nan
10186,139,-136.36000000000013,13.951876640319824,0.903233,nan
10264,140,-396.97900000000004,13.72294807434082,0.902492,nan
10326,141,-133.74700000000007,7.085450649261475,0.901903,nan
10384,142,-127.58299999999991,17.279918670654297,0.901352,nan
10434,143,-339.68700000000007,8.541624069213867,0.900877,nan
10513,144,-53.39000000000011,6.7425007820129395,0.9001265,nan
10594,145,-174.02100000000013,6.916440963745117,0.899357,nan
10670,146,-383.94100000000003,9.318516731262207,0.898635,nan
10729,147,-190.11300000000003,15.632952690124512,0.8980745,nan
10799,148,-437.9230000000002,10.462050437927246,0.8974095,nan
10862,149,-608.066,12.0787992477417,0.896811,nan
10930,150,-191.84500000000003,9.456415176391602,0.896165,nan
10997,151,-41.86500000000011,12.345876693725586,0.8955285,nan
11070,152,-9.346999999999952,13.941792488098145,0.894835,nan
11157,153,-176.65900000000013,10.340545654296875,0.8940085,nan
11228,154,42.52099999999993,8.575443267822266,0.893334,nan
11286,155,-191.353,12.439584732055664,0.892783,nan
11347,156,-275.02000000000004,8.668971061706543,0.8922035,nan
11415,157,-67.21699999999993,9.834248542785645,0.8915575,nan
11466,158,-180.94800000000004,10.947768211364746,0.891073,nan
11519,159,-390.418,8.830564498901367,0.8905695,nan
11618,160,77.93500000000004,12.339295387268066,0.889629,nan
11682,161,-129.6049999999999,6.804540157318115,0.8890210000000001,nan
11753,162,-189.14900000000003,8.561089515686035,0.8883465,nan
11831,163,-310.8940000000001,6.677311897277832,0.8876055,nan
11894,164,-243.059,7.9092183113098145,0.887007,nan
11985,165,-55.673,9.57771110534668,0.8861425,nan
12033,166,-221.11900000000009,11.857532501220703,0.8856865,nan
12094,167,-670.354,16.874374389648438,0.885107,nan
12152,168,-172.45299999999995,6.445825576782227,0.884556,nan
12204,169,-129.99200000000005,8.380943298339844,0.884062,nan
12281,170,-148.96999999999997,17.314931869506836,0.8833305,nan
12370,171,135.9509999999999,10.483129501342773,0.882485,nan
12428,172,-609.1809999999998,6.778617858886719,0.881934,nan
12503,173,-154.6790000000001,13.29548454284668,0.8812215,nan
12548,174,-194.98100000000002,9.75142765045166,0.880794,nan
12629,175,87.4009999999999,7.184743881225586,0.8800245,nan
12694,176,-272.941,10.783398628234863,0.879407,nan
12788,177,54.70599999999979,9.293359756469727,0.878514,nan
12851,178,-96.47200000000004,16.750152587890625,0.8779155,nan
12909,179,-184.38600000000008,13.931731224060059,0.8773645,nan
12987,180,-202.72700000000003,17.812480926513672,0.8766235,nan
13034,181,-3.7779999999999916,6.564242362976074,0.876177,nan
13106,182,-266.36199999999997,20.54574966430664,0.875493,nan
13165,183,-512.7819999999999,14.416107177734375,0.8749325,nan
13258,184,59.56599999999993,7.816254615783691,0.874049,nan
13345,185,-149.18499999999995,17.34975814819336,0.8732225,nan
13411,186,-307.749,6.348273277282715,0.8725955,nan
13507,187,-214.87900000000005,8.660941123962402,0.8716835,nan
13579,188,-519.514,4.589214324951172,0.8709995,nan
13700,189,-486.3670000000001,16.913074493408203,0.86985,nan
13784,190,-229.15500000000014,10.236979484558105,0.869052,nan
13846,191,-213.158,3.075953960418701,0.868463,nan
13884,192,-200.32299999999998,17.096115112304688,0.868102,nan
13954,193,-369.28700000000015,10.026304244995117,0.867437,nan
14035,194,-108.15900000000008,9.65162467956543,0.8666675,nan
14110,195,-155.04399999999998,10.938063621520996,0.865955,nan
14186,196,-358.29099999999994,13.17541790008545,0.865233,nan
14256,197,-342.78700000000003,8.384894371032715,0.864568,nan
14342,198,-150.45500000000015,9.390218734741211,0.863751,nan
14415,199,-201.6830000000001,14.326400756835938,0.8630575,nan
14467,200,-104.65999999999998,8.016949653625488,0.8625635,nan
14557,201,60.329999999999956,11.23605728149414,0.8617085,nan
14617,202,-421.8820000000001,13.523941993713379,0.8611385,nan
14682,203,-45.91000000000009,15.300185203552246,0.860521,nan
14753,204,-416.76000000000005,14.031634330749512,0.8598465,nan
14821,205,-219.21500000000012,12.429737091064453,0.8592005,nan
14894,206,-249.87600000000006,6.0038065910339355,0.858507,nan
14969,207,-119.22600000000003,7.271151542663574,0.8577945,nan
15035,208,-241.01400000000004,10.161702156066895,0.8571675,nan
15133,209,73.0309999999997,10.600311279296875,0.8562365000000001,nan
15198,210,-282.342,11.04507827758789,0.855619,nan
15275,211,-671.068,12.114289283752441,0.8548875,nan
15336,212,-576.881,16.02816390991211,0.8543080000000001,nan
15388,213,-440.028,14.14434814453125,0.8538140000000001,nan
15455,214,-151.57600000000002,13.494352340698242,0.8531775,nan
15526,215,-747.3899999999999,9.206995010375977,0.852503,nan
15608,216,-292.78100000000006,16.050315856933594,0.851724,nan
15699,217,-28.75399999999997,9.1541166305542,0.8508595,nan
15752,218,-422.304,12.603642463684082,0.850356,nan
15794,219,-299.471,9.099668502807617,0.8499570000000001,nan
15841,220,-209.62900000000005,15.255495071411133,0.8495105000000001,nan
15906,221,-155.89599999999996,6.793571472167969,0.848893,nan
15977,222,-58.471999999999866,19.40847396850586,0.8482185,nan
16033,223,-256.6980000000001,9.018640518188477,0.8476865,nan
16095,224,-286.01499999999993,9.035466194152832,0.8470975000000001,nan
16161,225,-772.992,16.188180923461914,0.8464705,nan
16214,226,-79.66399999999999,14.199634552001953,0.845967,nan
16278,227,-197.802,7.424464225769043,0.845359,nan
16338,228,-520.602,8.031132698059082,0.844789,nan
16423,229,127.56499999999983,14.24122142791748,0.8439815,nan
16499,230,-93.41100000000004,10.424919128417969,0.8432595,nan
16561,231,-221.89499999999992,6.688834190368652,0.8426705,nan
16621,232,-211.929,8.604480743408203,0.8421005,nan
16695,233,-117.21000000000011,15.592388153076172,0.8413975,nan
16791,234,-535.4379999999999,13.578254699707031,0.8404855,nan
16866,235,-557.9729999999998,7.189806938171387,0.839773,nan
