step,reward
46,-93.111
90,-123.43800000000005
137,-127.38600000000002
177,-85.883
217,-278.49699999999996
253,-89.899
287,-23.213000000000022
327,41.99100000000003
363,-47.929
401,-48.024999999999956
439,26.989000000000047
475,-3.0019999999999385
510,-18.042000000000144
554,-69.87199999999994
605,-235.10499999999996
643,11.93500000000003
678,-38.53699999999995
717,-9.936000000000007
772,-276.422
813,-188.66800000000003
862,-88.3630000000002
899,11.970000000000056
930,-108.01600000000003
963,-53.43100000000004
1001,-240.39700000000008
1038,-54.094000000000065
1072,-48.017000000000024
1106,-48.03100000000003
1143,15.390999999999963
1182,41.95900000000006
1221,-3.4690000000000225
1255,-48.02600000000001
1293,5.636000000000074
1329,-114.64600000000004
1361,-93.02000000000005
1403,-168.47199999999995
1438,-17.97300000000004
1474,11.979999999999961
1507,-47.99800000000008
1545,-129.03699999999998
1579,-62.83800000000008
1613,-48.03500000000007
1652,-129.32899999999998
1691,26.93799999999993
1736,-85.11999999999989
1775,-77.98200000000003
1813,-33.29399999999998
1851,-99.51200000000003
1890,56.98200000000014
1926,-48.029999999999916
1964,-3.022999999999911
2007,-4.250999999999976
2043,-48.00800000000008
2090,-41.03800000000001
2134,-177.82999999999996
2175,-23.719000000000072
2218,-204.27200000000002
2254,-181.41699999999997
2300,-78.34500000000011
2331,-77.98399999999998
2369,11.954999999999963
2402,-48.03
2439,11.974999999999966
2478,-197.47800000000007
2518,41.961999999999975
2551,-63.01999999999998
2593,-63.363999999999955
2631,11.984000000000052
2671,-189.536
2718,-99.60399999999997
2762,-357.398
2798,-48.059999999999995
2834,-3.0210000000000434
2875,-33.20699999999998
2911,-3.006999999999948
2942,-108.01800000000001
2985,-315.0809999999999
3017,-48.02000000000004
3053,-33.026
3087,-18.010000000000076
3123,-63.019000000000034
3167,-201.486
3201,-47.992999999999995
3232,-98.39100000000008
3267,-23.283999999999992
3302,-3.03299999999993
3339,-138.67900000000003
3387,-310.11299999999994
3435,-62.413000000000025
3465,-78.02600000000001
3501,-3.032000000000025
3544,-129.20800000000006
3577,-53.2240000000001
3634,-231.63900000000012
3672,-324.3750000000001
3730,-417.115
3771,-18.119000000000113
3809,-220.18300000000002
3844,-18.029000000000003
3889,-271.84800000000007
3925,-165.67000000000002
3970,-194.65400000000005
4003,-63.02999999999997
4049,-209.40099999999998
4090,11.649999999999977
4121,-77.9
4170,-155.33399999999995
4205,-78.07600000000001
4241,-3.0380000000000678
4282,-198.5190000000001
4318,-78.03400000000005
4354,-63.00600000000004
4393,-108.47999999999996
4433,-83.52
4466,-63.01300000000004
4499,-32.98999999999998
4536,-3.048000000000002
4568,-93.33299999999997
4616,-300.63500000000005
4669,-96.48800000000004
4705,11.970000000000027
4741,-125.57099999999997
4794,-215.99199999999996
4836,-33.39099999999995
4881,-273.33400000000006
4920,-138.37599999999998
4958,-18.031999999999947
5013,-456.608
5050,-3.007000000000062
5098,-295.23
5130,-93.00900000000007
5166,11.973000000000006
5204,41.964
5255,-422.154
5287,-48.00300000000008
5320,-48.02100000000007
5357,11.993000000000045
5396,-113.64600000000007
5445,-188.21200000000005
5481,-33.029000000000025
5521,-63.37100000000004
5561,-69.20800000000006
5623,-186.79599999999994
5659,-18.02199999999997
5704,-159.00300000000001
5740,-18.04600000000005
5774,-78.01000000000005
5818,-288.89599999999996
5870,-90.70700000000011
5911,-151.59099999999995
5954,-315.334
5995,-211.748
6054,-570.8149999999999
6091,11.994
6129,-18.061000000000035
6169,-69.29199999999994
6212,10.69400000000006
6249,-8.225000000000023
6287,-39.21600000000006
6325,-23.60500000000006
6358,-63.042
6415,-205.538
6456,-18.160999999999923
6498,-230.60199999999998
6533,-2.9559999999999746
6583,-114.42699999999996
6629,-285.288
6671,-45.198999999999884
6716,-432.29599999999994
6753,-153.27999999999997
6788,-17.987999999999943
6830,-346.02699999999993
6866,-3.034999999999968
6910,-158.957
6956,-121.231
6997,-189.668
7040,-174.48399999999998
7078,42.033999999999985
7151,-528.9110000000001
7186,-78.30799999999996
7221,-123.03200000000001
7261,41.653999999999975
7297,-48.05800000000003
7333,-288.7950000000001
7373,-121.29499999999999
7410,-33.05800000000008
7444,-33.029000000000096
7489,-222.6190000000001
7536,-189.92000000000007
7571,-33.00300000000004
7616,-158.72899999999998
7651,-48.02799999999996
7689,-48.29099999999997
7728,-63.39600000000007
7760,-78.03099999999996
7797,-33.068000000000026
7833,11.969999999999885
7867,-30.339999999999975
7898,-62.98299999999995
7937,-136.26100000000005
