step,reward
74,-206.337
111,-33.02600000000001
149,-18.059999999999974
180,-93.01199999999992
216,-89.899
256,-263.73199999999997
297,56.99099999999996
332,-32.91900000000001
370,-18.02699999999996
408,-8.279000000000067
441,-32.99999999999994
485,-213.57000000000002
533,-108.52999999999993
585,-231.58700000000005
622,11.96899999999998
658,-78.05000000000007
705,71.2580000000001
746,-84.965
806,-322.077
844,42.01899999999988
888,-204.16100000000006
920,-63.00800000000007
953,-33.02700000000003
990,11.998999999999889
1028,-54.10400000000011
1062,-78.01600000000008
1097,-63.041
1133,0.39099999999990587
1170,-3.0439999999999188
1209,-3.008999999999965
1258,-415.54600000000005
1303,-310.19199999999995
1347,-114.5980000000001
1381,-69.72500000000008
1415,-18.021000000000043
1451,-33.00100000000004
1499,-123.59099999999992
1532,-32.97599999999994
1572,-158.727
1603,-77.798
1638,-33.027000000000044
1675,-84.09300000000005
1710,-3.0250000000000483
1753,-24.62199999999994
1796,-198.01500000000001
1833,-68.15399999999997
1874,-99.46800000000002
1918,-48.26599999999998
1971,-300.447
2017,-266.293
2052,-2.9739999999999895
2097,-291.07500000000005
2129,-78.06
2183,-265.895
2229,-265.73999999999995
2263,-48.02
2296,-78.03
2356,-358.754
2400,-99.65199999999989
2435,-3.024999999999906
2468,-33.02100000000007
2514,-115.48100000000005
2546,-53.12300000000005
2583,-33.05500000000001
2617,-48.02700000000003
2651,-18.014999999999986
2687,-48.01599999999998
2723,-225.37599999999998
2756,-54.33000000000001
2796,-321.68899999999996
2835,26.94599999999997
2870,-33.3310000000001
2911,-146.02800000000005
2957,-234.66799999999986
2992,-123.15500000000006
3030,-99.633
3066,-33.06199999999998
3109,-307.65200000000004
3157,-205.572
3207,-210.37500000000006
3245,-198.02600000000004
3284,-18.035000000000124
3328,-428.36100000000005
3364,-23.295000000000073
3401,-108.374
3433,-48.01900000000009
3468,-33.063
3507,-98.44999999999996
3541,-33.03899999999996
3593,-390.6410000000001
3631,-18.05999999999996
3665,-78.03500000000007
3709,56.51500000000006
3741,-47.985000000000014
3781,-111.36000000000007
3817,-8.11300000000007
3849,-63.02299999999997
3900,-114.99799999999996
3955,-256.422
3994,-18.065999999999946
4040,-164.71999999999997
4075,-38.142
4104,-92.92699999999999
4156,-227.18299999999996
4192,-78.30799999999999
4228,11.97599999999997
4262,-83.57700000000001
4310,-34.609000000000066
4343,-48.02399999999997
4380,-48.028999999999996
4417,-33.00100000000002
4460,-313.437
4501,-53.29100000000003
4531,-122.99400000000003
4567,-3.0009999999999266
4602,-48.02000000000001
4636,-63.030000000000115
4688,-330.4669999999999
4720,-48.03400000000005
4758,26.941000000000003
4813,-451.1619999999999
4850,-54.91900000000003
4888,-18.215000000000032
4922,-33.005000000000024
4956,-63.02300000000004
4993,-48.00700000000015
5029,-451.79599999999994
5077,-358.95899999999995
5114,26.976999999999833
5150,-144.70699999999997
5184,-18.016999999999953
5231,-183.6640000000001
5277,-194.98999999999998
5312,-63.0220000000001
5364,-216.86500000000007
5408,-74.49599999999997
5447,-108.07400000000004
5493,-63.749000000000066
5528,-83.13000000000007
5564,11.978999999999957
5602,-129.82400000000007
5655,-295.95399999999995
5692,-48.012000000000015
5738,-172.12599999999998
5773,-18.031000000000006
5809,-93.00600000000014
5853,-183.61900000000003
5890,11.988999999999876
5928,-84.24700000000004
5962,-48.011
5994,-62.99300000000011
6029,-68.91899999999997
6069,56.99300000000005
6109,-99.34099999999998
6147,11.956999999999908
6200,-180.87599999999998
6240,-167.19299999999998
6279,-135.52400000000006
6319,-123.62599999999995
6363,-361.289
6411,-336.667
6462,-321.13599999999985
6495,-138.03300000000002
6532,-2.9710000000000747
6564,-63.02400000000003
6596,-137.99200000000008
6640,-0.32900000000005747
6677,-18.058000000000064
6711,-93.04299999999995
6744,-63.00799999999998
6782,-215.89999999999998
6817,-3.0240000000000578
6854,11.95000000000013
6886,-93.0220000000001
6928,-145.07700000000008
6969,-158.70300000000003
7007,42.033999999999985
7048,-270.2020000000001
7095,-261.165
7129,-123.02799999999985
7173,-130.46799999999996
7208,-53.34200000000001
7244,-213.30200000000005
7294,-140.912
7340,-415.705
7394,-198.742
7430,-2.9630000000000507
7492,-811.5819999999998
7528,-33.01599999999996
7564,-33.04500000000003
7600,-68.26299999999998
7638,-3.052000000000021
7679,-104.23400000000007
7713,-159.54200000000006
7750,-18.04000000000009
7784,-18.016000000000055
7821,-0.35099999999995646
7855,-47.98800000000003
7887,-78.00500000000008
7934,-111.83600000000003
